link_start,link_end,link,long_start,lat_start,long_end,lat_end,geom,length,runtime,passengers,cost_total,costpm,costppx,costppm,distance_core,distance_core_euclidean,distance_core_euclidean_mean,triplength_average,percentpaid_base,percentpaid_effective
W40,Y10,W40-Y10,-122.3868505,37.6001941,-122.3924141,37.61599768,"LINESTRING (-122.3868505 37.6001941, -122.3924141 37.61599768)",1.82,3.183333333,154130,5464694.694,3002579.502,2.195734383,0.845688055,22.76,14.98450012,14.52966563,1.8200001,0.624118946,0.504507271
W40,W30,W30-W40,-122.3868505,37.6001941,-122.4162667,37.63770374,"LINESTRING (-122.3868505 37.6001941, -122.4162667 37.63770374)",3.04,3.35,3455270,5464694.694,1797596.939,2.195734383,0.845688055,22.76,14.98450012,10.95233861,17.92790041,0.387142063,0.363503397
Y10,W30,W30-Y10,-122.3924141,37.61599768,-122.4162667,37.63770374,"LINESTRING (-122.3924141 37.61599768, -122.4162667 37.63770374)",2.23,3.091666667,3856933,5464694.694,2450535.737,2.195734383,0.845688055,21.95,14.07483113,11.54405263,23.26271566,0.662803023,0.594726899
W30,W20,W20-W30,-122.4162667,37.63770374,-122.4439777,37.66421054,"LINESTRING (-122.4162667 37.63770374, -122.4439777 37.66421054)",2.43,2.55,9282326,12817950.82,5274876.882,1.380898583,0.568271022,19.72,13.30270365,11.04531139,19.7681115,0.525440373,0.479973024
W20,W10,W10-W20,-122.4439777,37.66421054,-122.4662232,37.68462161,"LINESTRING (-122.4439777 37.66421054, -122.4662232 37.68462161)",1.93,2.375,10995638,10684995.4,5536267.048,0.971748561,0.503496664,17.29,12.67170353,10.82948591,18.8818641,0.520204054,0.476802523
W10,M90,M90-W10,-122.4662232,37.68462161,-122.4689119,37.70633321,"LINESTRING (-122.4662232 37.68462161, -122.4689119 37.70633321)",1.6,2.895833333,13028305,9709910.567,6068694.105,0.745293464,0.465808415,15.36,12.51250638,10.58651463,17.69962571,0.520775901,0.478613719
M90,M80,M80-M90,-122.4689119,37.70633321,-122.4475874,37.72135059,"LINESTRING (-122.4689119 37.70633321, -122.4475874 37.72135059)",1.78,3.1,17605188,20769868.42,11668465.4,1.1797584,0.662785618,13.76,11.69270479,10.25011973,16.41538454,0.529702764,0.48976615
M80,M70,M70-M80,-122.4475874,37.72135059,-122.4337901,37.73311239,"LINESTRING (-122.4475874 37.72135059, -122.4337901 37.73311239)",1.15,2.1,23125785,14458751.28,12572827.2,0.625222075,0.543671369,11.98,10.14115409,9.771059996,14.47033973,0.53539227,0.484896114
M70,M60,M60-M70,-122.4337901,37.73311239,-122.4184679,37.75223145,"LINESTRING (-122.4337901 37.73311239, -122.4184679 37.75223145)",1.66,2.4,26776291,18878140.27,11372373.65,0.705031935,0.424718033,10.83,9.061264458,9.48593925,13.65931395,0.54553574,0.491112015
M60,M50,M50-M60,-122.4184679,37.75223145,-122.4197081,37.76505424,"LINESTRING (-122.4184679 37.75223145, -122.4197081 37.76505424)",0.88,1.7,31867402,11976064.45,13609164.15,0.37580925,0.427055966,9.17,7.664821843,9.033228636,12.87725314,0.575068818,0.517893041
