link_start,link_end,link,long_start,lat_start,long_end,lat_end,geom,length,runtime,passengers,cost_total,costpm,costppx,costppm,distance_core,distance_core_euclidean,distance_core_euclidean_mean,triplength_average,percentpaid_base,percentpaid_effective
S7,S6,S6-S7,-84.44617884,33.64068863,-84.44880335,33.65153382,"LINESTRING (-84.44617884 33.64068863, -84.44880335 33.65153382)",0.833049242,2,5342494,4328755.672,5196278.267,0.810249983,0.972631559,9.239109848,8.404998058,7.311361681,12.77893269,0.355126841,0.26864205
S6,S5,S5-S6,-84.44880335,33.65153382,-84.44080011,33.67687486,"LINESTRING (-84.44880335 33.65153382, -84.44080011 33.67687486)",1.86875,3,8518919,8055719.67,4310753.001,0.945626983,0.506021128,8.406060606,7.779287994,6.657755457,13.23675716,0.351917696,0.253726524
S5,S4,S4-S5,-84.44080011,33.67687486,-84.42894403,33.70033143,"LINESTRING (-84.44080011 33.67687486, -84.42894403 33.70033143)",1.871590909,3,10517765,8065295.048,4309325.83,0.766825941,0.409718779,6.537310606,6.010125304,6.186267195,12.99668374,0.363595166,0.255080549
S4,S3,S3-S4,-84.42894403,33.70033143,-84.42515985,33.71703218,"LINESTRING (-84.42894403 33.70033143, -84.42515985 33.71703218)",1.198484848,2,11381376,5536666.888,4619722.058,0.486467268,0.405901893,4.665719697,4.265229214,5.978333892,12.80080954,0.367869485,0.257054487
S3,S2,S2-S3,-84.42515985,33.71703218,-84.41366998,33.73582339,"LINESTRING (-84.42515985 33.71703218, -84.41366998 33.73582339)",1.543939394,2,12349762,6678369.359,4325538.545,0.540769074,0.350252786,3.467234848,3.184611016,5.70698621,12.42271311,0.376625441,0.259917451
S2,S1,S1-S2,-84.41366998,33.73582339,-84.39558831,33.74880099,"LINESTRING (-84.41366998 33.73582339, -84.39558831 33.74880099)",1.461742424,2.5,13450432,6558952.633,4487078.246,0.487638808,0.333601051,1.923295455,1.771704847,5.385663798,12.01664677,0.387363602,0.265053678
S1,5PT,5PT-S1,-84.39558831,33.74880099,-84.39171258,33.75383639,"LINESTRING (-84.39558831 33.74880099, -84.39171258 33.75383639)",0.46155303,2.5,13578824,3253514.647,7049059.231,0.239602093,0.519121481,0.46155303,0.412549356,5.359042416,11.98078032,0.387081952,0.264740013
5PT,N1,5PT-N1,-84.39171258,33.75383639,-84.38756982,33.75968432,"LINESTRING (-84.39171258 33.75383639, -84.38756982 33.75968432)",0.494318182,1.5,16677557,3057586.499,6185462.34,0.183335395,0.370885396,0.494318182,0.468276989,5.376412843,12.20294475,0.383025652,0.268317752
N1,N2,N1-N2,-84.38756982,33.75968432,-84.38748589,33.76638675,"LINESTRING (-84.38756982 33.75968432, -84.38748589 33.76638675)",0.561174242,1,17505807,3126423.574,5571217.173,0.178593513,0.318249663,1.055492424,0.898471366,5.486814452,12.35872997,0.386567587,0.273007774
N2,N3,N2-N3,-84.38748589,33.76638675,-84.38677636,33.77157474,"LINESTRING (-84.38748589 33.76638675, -84.38677636 33.77157474)",0.451136364,1.5,17487965,2914889.911,6461216.925,0.166679766,0.369466483,1.506628788,1.255018541,5.546204031,12.43730946,0.386442894,0.273457213
N3,N4,N3-N4,-84.38677636,33.77157474,-84.38645593,33.78076435,"LINESTRING (-84.38677636 33.77157474, -84.38645593 33.78076435)",0.633143939,1,17348957,3364279.757,5313609.67,0.193918272,0.306278335,2.139772727,1.880236911,5.757178223,12.72463773,0.38172181,0.272250318
N4,N5,N4-N5,-84.38645593,33.78076435,-84.38680688,33.7890842,"LINESTRING (-84.38645593 33.78076435, -84.38680688 33.7890842)",0.627462121,2,16991320,3649777.906,5816730.259,0.214802494,0.342335396,2.767234848,2.445451252,6.027137623,13.05485317,0.373992587,0.268468159
N5,N6,N5-N6,-84.38680688,33.7890842,-84.36953393,33.8224857,"LINESTRING (-84.38680688 33.7890842, -84.36953393 33.8224857)",2.740340909,4,16100695,11241279.74,4102146.451,0.698185994,0.254780707,5.507575758,4.9000768,6.423977336,13.58749767,0.357475081,0.259610316
N6,NE7,N6-NE7,-84.36953393,33.8224857,-84.3569149,33.84596135,"LINESTRING (-84.36953393 33.8224857, -84.3569149 33.84596135)",1.949242424,3,6420332,4542127.977,2330201.683,0.707459985,0.362940995,7.456818182,6.656989702,6.674782217,12.97894213,0.336089278,0.239203242
NE7,NE8,NE7-NE8,-84.3569149,33.84596135,-84.33926811,33.85997655,"LINESTRING (-84.3569149 33.84596135, -84.33926811 33.85997655)",1.568939394,3,5319780,3856085.935,2457766.023,0.724858159,0.4620052,9.025757576,7.912472716,7.108137142,13.49004464,0.322145175,0.228243626
NE8,NE9,NE8-NE9,-84.33926811,33.85997655,-84.30632438,33.88743094,"LINESTRING (-84.33926811 33.85997655, -84.30632438 33.88743094)",2.804356061,4,4365728,6250293.505,2228780.287,1.43167268,0.510517441,11.83011364,10.43487494,7.546332301,13.99025268,0.304554743,0.214569302
NE9,NE10,NE10-NE9,-84.30632438,33.88743094,-84.28101004,33.90239218,"LINESTRING (-84.30632438 33.88743094, -84.28101004 33.90239218)",1.898106061,3,2742396,4449543.211,2344201.572,1.622502079,0.854800536,13.7282197,12.0561773,8.03374548,14.46115399,0.285457542,0.200415228
