name,id,long,lat,distance_core,distance_core_euclidean,distance_core_euclidean_mean,triplength_average,passengers,patronage,cost_total,costppx,percentpaid_base,percentpaid_effective,distance_average
Lake Merritt,A10,-122.2652268,37.79729295,1.78,1.719806336,5.297045492,10.20411343,4051804,0.03,4168645.508,1.02883691,0.770062193,0.706222711,10.20411343
Fruitvale,A20,-122.2241794,37.77489446,4.53,4.401360667,6.209889818,11.14082509,4637067,0.04,4112455.638,0.886865693,0.778832861,0.718359329,11.14082509
Coliseum,A30,-122.1968592,37.75368875,6.64,6.436159973,7.997255544,12.99343,4121332,0.03,5040264.275,1.222969728,0.619270769,0.576019144,12.93250034
San Leandro,A40,-122.1607507,37.72178541,9.6,9.327744749,8.476245938,13.94365696,3546270,0.03,3948677.697,1.113473508,0.678966172,0.614804496,13.94365696
Bayfair,A50,-122.1264596,37.6969162,12.16,11.86578866,9.877214711,15.47215229,3131625,0.03,3613264.58,1.153798613,0.622205646,0.562338808,15.47215229
Hayward,A60,-122.08696,37.66969738,15.02,14.72992597,11.82752691,17.21441176,2611922,0.02,4258059.643,1.63023997,0.519331306,0.476288183,17.21441176
South Hayward,A70,-122.0571973,37.63435057,17.97,17.5581455,12.94699055,20.06138385,1693331,0.01,3676148.955,2.170957099,0.475157176,0.437900612,20.06138385
Union City,A80,-122.017256,37.59073432,21.76,21.21492414,14.59396359,23.54987518,2639266,0.02,5467601.57,2.071637179,0.457125577,0.424525023,23.54987518
Fremont,A90,-121.9766264,37.55747443,24.97,24.41317802,16.03682714,26.73175954,3400835,0.03,4581549.076,1.347183582,0.427421568,0.399534377,26.73175954
Rockridge,C10,-122.2513146,37.84473931,5.03,3.648041169,5.602383341,11.93493314,3155787,0.03,4172789.081,1.322265755,0.802256757,0.735117072,11.93493314
Orinda,C20,-122.1837537,37.87843137,9.42,7.928215908,7.363009925,15.17716268,1685406,0.01,2823373.098,1.675188707,0.753738185,0.68835422,15.17716268
Lafayette,C30,-122.1246473,37.89318568,13.18,11.13758775,9.107887036,18.12007983,1979160,0.02,3163459.688,1.598385016,0.718630001,0.659593529,18.12007983
Walnut Creek,C40,-122.0673294,37.90581393,16.64,14.27148433,11.04977538,20.66830597,3755365,0.03,4891152.742,1.302444035,0.681387243,0.62920386,20.66830597
Pleasant Hill,C50,-122.0559784,37.9284418,18.36,15.60889795,11.26173866,22.92939727,4192050,0.04,4124728.977,0.983940787,0.693273361,0.645826203,22.92939727
Concord,C60,-122.029062,37.97382499,22.43,18.63624647,13.50202476,25.07004592,3167127,0.03,4774746.871,1.507595644,0.542343787,0.495190691,25.07004592
North Concord,C70,-122.0245523,38.00332452,24.66,20.14959376,13.80648591,28.20575358,1161066,0.01,3471496.744,2.989921972,0.44593916,0.410081505,28.20575358
Pittsburg/Bay Point,C80,-121.9439801,38.0189142,29.54,24.21025775,16.0489152,32.95010945,2206889,0.02,4496483.86,2.037476221,0.391838355,0.350880614,32.63897906
Pittsburg/Bay Point Transfer Platform,C88,-121.9328174,38.01893663,30.02,24.69745398,0,0,0,0,0,0,0,0,0
Pittsburg Center,E20,-121.8894702,38.01694606,29.54,26.55841069,17.87593319,33.32732486,617004,0.01,1240157.894,2.009967349,0.349608666,0.307777127,32.16915664
Antioch,E30,-121.7804334,37.99539273,29.54,31.04800685,19.50824145,42.24572017,1613935,0.01,1940253.22,1.202187957,0.380533489,0.336434,41.57098345
Oakland International Airport,H10,-122.2124402,37.71297182,6.64,7.79107652,8.751988189,17.99792458,881784,0.01,3995334.805,4.53096768,0.388116358,0.368585757,17.56924211
12th Street / Oakland City Center,K10,-122.271676,37.80359016,1.59,1.288240343,5.669838755,11.63996018,7562213,0.06,11900559.28,1.573687396,0.593291726,0.544113126,11.63996018
19th Street Oakland,K20,-122.268654,37.80849329,1.94,1.47162218,5.532281747,11.32023877,7252389,0.06,9825591.72,1.354807598,0.661608974,0.623518186,11.32023877
MacArthur,K30,-122.2670635,37.8290833,3.46,2.26892466,5.403961382,11.21842037,4899207,0.04,5417779.081,1.105848167,0.76189321,0.717919746,11.21842037
Castro Valley,L10,-122.0756067,37.69074798,15.16,14.37129277,10.92683345,18.83364957,1617525,0.01,3306185.395,2.043977926,0.554169565,0.508599307,18.83364957
West Dublin/Pleasanton,L20,-121.9280771,37.6997507,23.56,21.36953925,14.21100955,26.95914445,2004549,0.02,3893784.404,1.942474045,0.489504485,0.460577473,26.95914445
Dublin/Pleasanton,L30,-121.899074,37.70168178,25.16,22.82776804,14.82662864,29.43321757,4701096,0.04,5480815.031,1.165858989,0.498863495,0.47044258,29.43321757
West Oakland,M10,-122.2951608,37.80488709,0,0,3.44086425,7.669394414,4583375,0.04,3677683.061,0.802396282,1.057919002,0.997919859,7.669394414
